﻿id,authors,title,year,source,publisher,articleurl,citesurl,abstract,fulltexturl,relatedurl,String Search,v1_decision,v1_reason,v2_decision,v2_reason
184,"Mà Du, LA Tuan, B Ji, X Wu, Y Qing",Codearena: A collective evaluation platform for llm code generation,2025,Proceedings of the ,aclanthology.org,https://aclanthology.org/2025.acl-demo.48/,"https://scholar.google.com/scholar?cites=9148487091916340178&as_sdt=2005&sciodt=0,5&hl=en"," Test Case Generation. Since most online coding platforms do not disclose their test cases, we develop an automated test case generation workflow for Benchmark Curators to address ",https://aclanthology.org/2025.acl-demo.48.pdf,"https://scholar.google.com/scholar?q=related:0nvrEYr09X4J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-O: Bi bo tập trung vào n?n t?ng dnh gi khả năng sinh code của LLM, không phải sinh Unit Test tự động cho Java/Python.",,
185,"D Tian, Là Song, X Su",Just-In-Time Quality Assurance with Assistance of Automated Defect Prediction and Code Testing,2026,ACM Transactions on Software Engineering and ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3779653,," testing in Java applications. EvoSuite integrates various test case generation algorithms and  When using TestGen-LLM, we set the temperature parameter of the LLM to 0 to ensure that ",https://dl.acm.org/doi/pdf/10.1145/3779653,"https://scholar.google.com/scholar?q=related:H3lpAOzkJxkJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
186,"J Van Handenhoven, B Vanhove",Exploratory Study on LLMs for Test Amplification in Solidity,2026, on Software Analysis ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11499993/,, the choice of LLM impacts the  Automated test generation for Solidity smart contracts remains relatively underexplored compared with more popular languages such as Java and Python. ,,"https://scholar.google.com/scholar?q=related:3jcwSzEcTo8J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P: Bi bo tập trung vào sinh test cho Solidity, không phải Java/Python.",,
187,"A Hemmat, F Aghababaei, Mà Sharbaf",Advanced Mutation Testing with Zero and Few-Shot Evaluation Using GPT-V4,2025, on Internet of Things ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11297643/,," [9] has been pivotal, demonstrating the utility of ChatGPT in automating unit test generation.  the robust capabilities of LLM. We utilized two predominant Java code mutation tools to ",,"https://scholar.google.com/scholar?q=related:LCpTvXAOhxEJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,IC-E: Không c full-text d? xác nhận số liệu cụ thể và? Branch Coverage ho?c Mutation Score.,,
188,"D Huang, J Mà. Zhang, Q Bu, X Xie, J Chen",Bias testing and mitigation in llm-based code generation,2025,ACM Transactions on ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3724117,"https://scholar.google.com/scholar?cites=10682834171955934766&as_sdt=2005&sciodt=0,5&hl=en"," To extract the above necessary information for test case generation from the LLM-generated code, we first parse the code snippet into an AST using a suitable parsing library for the ",https://dl.acm.org/doi/pdf/10.1145/3724117,"https://scholar.google.com/scholar?q=related:LnbWTRQNQZQJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
189,"S Piya, A Samadi, A Sullivan",Is more or less automation better? an investigation into the LLM4TDD process,2025,2025 IEEE/ACM International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11028245/,"https://scholar.google.com/scholar?cites=8461465846088759116&as_sdt=2005&sciodt=0,5&hl=en"," For automated test generation, we use the LLM itself to generate the tests. In particular, we  Test Case in Python. Lastly, we have ChatGPT translates the test case into Python code using ",,"https://scholar.google.com/scholar?q=related:THc4M1sqbXUJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,IC-I: Abstract ch? đề cập 'ChatGPT' mà không xc d?nh r phin b?n GPT-4 ho?c GPT-4o; IC-E: Không c thông tin và? số liệu Branch Coverage hay Mutation Score. C?n full-text để xác minh.,Include,"Đọc full-text, xác nhận đủ IC"
190,"Là Yan, J Shang",Software Reliability Testing Profile Generation for Industrial Robot Based on Large Language Model,2025,2025 12th International Conference on ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11320405/,, Software reliability test profiles serve as a critical bridge connecting actual system usage scenarios with test case generation. Their core lies in accurately characterizing the operational ,,"https://scholar.google.com/scholar?q=related:TppTKM4TLfMJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P, EC-O: Bi bo tập trung vào sinh h? so kiểm thử d? tin c?y (reliability testing profile) cho robot cng nghi?p, không phải sinh unit test tự động cho Java/Python. Không dp ?ng tr?ng tìm c?t li.",,
191,"E Erer, A Bozanta, T Aytac",A Fully Automated Agent for End-to-End Code Translation and Validation,2025,2025 IEEE International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11344486/,," unit test generation of our method is performed by different LLMs. An LLM comparison could be utilized to determine what LLM  an LLM to generate code comments from a Java code, ",,"https://scholar.google.com/scholar?q=related:SkaRtiJ5FjwJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P: Tr?ng tìm c?t li là đặch mà (code translation) và xc th?c, không phải sinh Unit Test tự động. Không c thông tin và? Branch Coverage hay Mutation Score (IC-E).",,
192,"C Wang, J Zhang, Y Feng, T Li, W Sun, Y Liu",Teaching code llms to use autocompletion tools in repository-level code generation,2025,ACM Transactions on ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3714462,"https://scholar.google.com/scholar?cites=12753328737742889715&as_sdt=2005&sciodt=0,5&hl=en"," On top of the standard generation process, to ensure that the employed code LLM  Python code generation tasks from the CoderEval benchmark, extracted from 43 real-world Python ",https://dl.acm.org/doi/pdf/10.1145/3714462,"https://scholar.google.com/scholar?q=related:8yLyvOrs_LAJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
193,"E Ceh-Varela, E Imhmed, C Parten",Enhancing Code Assessment and Feedback Generation with GenAI Agents,2025, with Generative AI ,Springer,https://link.springer.com/chapter/10.1007/978-3-032-05306-0_13,"https://scholar.google.com/scholar?cites=4013545289520846926&as_sdt=2005&sciodt=0,5&hl=en"," code reliability, LLM-driven test case generation not only  three phases: test case generation, validation, and Java file  of GenAI agents enhance test case generation, feedback ",,"https://scholar.google.com/scholar?q=related:ThjVFy36sjcJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-S: Page count 0, bi bo dưới 4 trang (c th? là extended abstract/poster).",,
194,"K Etemadi, B Mohammadi, Z Su",Mokav: Execution-driven differential testing with llms,2025,Journal of Systems and ,Elsevier,https://www.sciencedirect.com/science/article/pii/S0164121225002407,"https://scholar.google.com/scholar?cites=1782540438300350909&as_sdt=2005&sciodt=0,5&hl=en", Mokav iteratively prompts an LLM with a specialized prompt to generate new test inputs. At  tests until the LLM produces a DET. We evaluate Mokav on 1535 pairs of Python programs ,https://arxiv.org/pdf/2406.10375,"https://scholar.google.com/scholar?q=related:vVmplhXbvBgJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P, EC-O: Bi bo tập trung vào differential testing (tìm test input gy khc bi?t output) không phải sinh unit test tự động d? đạt coverage.",,
195,"X Jin, Z Liu, J Zhang, X Hu, X Xia",Tracets4J: A Traceable Unit Test Generation Dataset,2025,2025 IEEE International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10992478/,"https://scholar.google.com/scholar?cites=1271833254275959899&as_sdt=2005&sciodt=0,5&hl=en"," more effective training of test case generation models. However,  In addition, we apply COACH to 19,518 real-world Java  Evaluating and improving chatgpt for unit test generation. ",,"https://scholar.google.com/scholar?q=related:W8ylNpt1phEJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-I: Bi bo là dataset paper, không sử dụng GPT-4 ho?c GPT-4o d? sinh unit test. IC-E: Không c số liệu thực nghiệm và? Branch Coverage ho?c Mutation Score.",,
196,"K Even-Mendoza, HD Menndez",Search+ LLM-based testing for ARM simulators,2025,2025 IEEE/ACM 47th ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11121722/,"https://scholar.google.com/scholar?cites=18407753295001577552&as_sdt=2005&sciodt=0,5&hl=en"," Specifically, we use (1) Java with Ollama for LLM-based test  were needed for the Python configuration script. We continued  unit test generation, in ASE, 2024, pp. 16071619. [Online]. ",https://discovery.ucl.ac.uk/id/eprint/10203327/1/main.pdf,"https://scholar.google.com/scholar?q=related:UGiY5Rd6df8J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-O: Bi bo tập trung vào kiểm thử gi? là?p ARM (system-level testing), không phải sinh unit test tự động cho Java/Python.",,
197,"Mà Ait Said, Là Belouaddane, Mà Soukaina",Enhancing API Testing Through Genetic Algorithm-Based Chaos Engineering,2025, Conference on Artificial ,Springer,https://link.springer.com/chapter/10.1007/978-3-032-14430-0_39,," Although chaos engineering has proven effective in exposing vulnerabilities, its integration into API testing remains limited due to a lack of automation and efficient test case generation. ",,"https://scholar.google.com/scholar?q=related:y3ORzqn1aFMJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,IC-P: Bi bo tập trung vào kiểm thử API (integration testing) thay và sinh Unit Test tự động.,,
198,"Z Xu, B Li, X Du, Là Wang, Là Liao",TRAGIC: Test Oracle Generation for ISA Compliance Testing via Large Language Model,2025,IEEE Transactions on ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11245600/,," Furthermore, we also show that when integrated with automated test generation tools, our  utilized LLM to generate test oracle of java unit test cases. TOGLL utilized open-source Java ",,"https://scholar.google.com/scholar?q=related:Sw67Bbj7btsJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,IC-I: Không c thông tin và? việc sử dụng GPT-4/GPT-4o trong abstract; IC-E: Không c số liệu và? Branch Coverage ho?c Mutation Score. C?n full-text để xác minh.,Include,"Đọc full-text, xác nhận đủ IC"
199,"ME Salari, EP Enoiu, A Bucaioni",PyLC+: A Scalable Python Framework for Automated Translation and Testing of Industrial PLC Programs,2025,2025 IEEE 49th ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11126445/,"https://scholar.google.com/scholar?cites=7171765968145590955&as_sdt=2005&sciodt=0,5&hl=en"," PyLC-LLM, an LLM specifically trained to generate effective PLC test cases in Python,  , we use the DYNAMOSA algorithm for test case generation, assisted by the PyLC-M1 LLM. ",http://www.es.mdu.se/pdf_publications/7202.pdf,"https://scholar.google.com/scholar?q=related:q6qNfyY7h2MJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P, EC-O: Bi bo tập trung vào kiểm thử chương trình PLC cng nghi?p, không phải sinh unit test tự động cho Java/Python. Ngoi ra, không sử dụng GPT-4 (IC-I) và không c số liệu và? Branch Coverage hay Mutation Score (IC-E).",,
200,"J Yoon, S Kim, S Kim, S Jung",Integrating LLM-Based Text Generation with Dynamic Context Retrieval for GUI Testing,2025,2025 IEEE Conference on ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10989041/,"https://scholar.google.com/scholar?cites=12732436687844027852&as_sdt=2005&sciodt=0,5&hl=en", [42] used web search results to find meaningful string values in the context of automated unit test generation for Java. Afshan et al. [43] later applied an entropy-based language model ,https://coinse.github.io/publications/pdfs/Yoon2025ab.pdf,"https://scholar.google.com/scholar?q=related:zC0YULWzsrAJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-O: Bi bo tập trung vào GUI testing (UI testing), không phải sinh unit test tự động.",,
201,"T Xu, J Liu, Y Yao, C Li, F Xu","Comprehend, Imitate, and then Update: Unleashing the Power of LLMs in Test Suite Evolution",2025,2025 40th IEEE/ACM ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11334264/,," We evaluate COMMITUP on a curated dataset from real-world Java  We believe our study can provide new insight into LLM- Specifically, we begin by utilizing Java projects from the ",,"https://scholar.google.com/scholar?q=related:SMz-2_WndbMJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,IC-I: Abstract không đề cập sử dụng GPT-4 ho?c GPT-4o; IC-E: Không c số liệu và? Branch Coverage ho?c Mutation Score.,,
202,"A Panagopoulou, H Zhou, S Savarese",Viunit: Visual unit tests for more robust visual programming,2025,Proceedings of the ,openaccess.thecvf.com,https://openaccess.thecvf.com/content/CVPR2025/html/Panagopoulou_ViUniT_Visual_Unit_Tests_for_More_Robust_Visual_Programming_CVPR_2025_paper.html,"https://scholar.google.com/scholar?cites=8036628309461638679&as_sdt=2005&sciodt=0,5&hl=en", LLM Unit Test Generation: Unit tests have been used as  Existing methods for automatic unit test generation with  We explore different unit test generation configurations applied on best ,https://openaccess.thecvf.com/content/CVPR2025/papers/Panagopoulou_ViUniT_Visual_Unit_Tests_for_More_Robust_Visual_Programming_CVPR_2025_paper.pdf,"https://scholar.google.com/scholar?q=related:Fx5PGd7Wh28J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P: Tr?ng tìm không phải sinh Unit Test tự động cho Java/Python mà là kiểm thử tr?c quan cho là?p trnh tr?c quan. EC-O: Sai ch? d?, không lin quan đến unit test generation.",,
203,"H Aarifeen, D Wickramaarachchi","Evaluating AI-Based Unit Testing Tools: A Focus on Usability, Reliability, and Integration",2025,2025 5th International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10963099/,"https://scholar.google.com/scholar?cites=5783974236636130772&as_sdt=2005&sciodt=0,5&hl=en"," Models like GPT-4 further streamline testing by autonomously generating and refining unit tests [ between conventional and ai-based automated unit test generation tools in java, 2023. ",,"https://scholar.google.com/scholar?q=related:1C21ZOzNRFAJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-E: Abstract không đề cập đến số liệu thực nghiệm cụ thể và? Branch Coverage ho?c Mutation Score, ch? tập trung vào usability, reliability, integration. Không c bằng chứng và? bảng biểu/con số coverage.",,
204,"SM Abtahi, A Azim",Augmenting large language models with static code analysis for automated code quality improvements,2025, Conference on AI Foundation Models and ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11052822/,"https://scholar.google.com/scholar?cites=14953940439194560444&as_sdt=2005&sciodt=0,5&hl=en"," These test cases can then be used to verify the original files and subsequently validate the LLM-generated revisions. By incorporating automated test case generation, the manual ",https://arxiv.org/pdf/2506.10330?,"https://scholar.google.com/scholar?q=related:vGeKnpkRh88J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P, EC-O: Bi bo tập trung vào tự động sửa lỗi mà ngu?n (program repair) và c?i thì?n chất lượng mà, không phải sinh Unit Test tự động. Việc sinh test case ch? là bu?c hỗ trợ xc th?c b?n và, không phải tr?ng tìm c?t li.",,
205,"Là Zhong, S Yuan, J Zhang, Y Liu, P Nie, JJ Li",A tool for generating exceptional behavior tests with large language models,2025,Proceedings of the 33rd ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3696630.3728608,"https://scholar.google.com/scholar?cites=13168984041890923562&as_sdt=2005&sciodt=0,5&hl=en"," Java projects in CodeSearchNet [19], which are available on GitHub. We evaluate exLongs performance with full precision LLM  of code to guide automated test generation for Python. ",https://dl.acm.org/doi/pdf/10.1145/3696630.3728608,"https://scholar.google.com/scholar?q=related:KkSyvTahwbYJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
206,"S Haldar, Mà Pierce, LF Capretz",Exploring the integration of generative ai tools in software testing education: A case study on chatgpt and copilot for preparatory testing artifacts in postgraduate ,2025,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10904141/,"https://scholar.google.com/scholar?cites=12784052227168234378&as_sdt=2005&sciodt=0,5&hl=en"," a single cohort, who used ChatGPT to generate testing artifacts for the custom Travel application. ChatGPT demonstrated strengths in test case generation speed and was particularly ",https://ieeexplore.ieee.org/iel8/6287639/6514899/10904141.pdf,"https://scholar.google.com/scholar?q=related:imtnjsQTarEJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
207,"Y Peng, J Wan, Y Li, X Ren",Coffe: A code efficiency benchmark for code generation,2025,Proceedings of the ACM on Software ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3715727,"https://scholar.google.com/scholar?cites=843956888315194419&as_sdt=2005&sciodt=0,5&hl=en", first LLM-based stressful test case generation  Python code generation in this paper. The code generation performance of LLMs on other programming languages such as C++ and Java ,https://dl.acm.org/doi/pdf/10.1145/3715727,"https://scholar.google.com/scholar?q=related:M2zFhVFWtgsJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
208,"E Imhmed, E Ceh-Varela, Là Scherer",WIP: CodeInspector: Automated LLM-Supported CS1-Level Code Assessment,2025,2025 IEEE Frontiers ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11328429/,," 2) The integration of an LLM for automated test case generation, enhancing the efficiency of  a Java file containing an instructors solution to a programming assignment. The LLM uses ",,"https://scholar.google.com/scholar?q=related:RPl7oSMcNVkJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,IC-I: Không đề cập sử dụng GPT-4 ho?c GPT-4o; IC-E: Không c số liệu thực nghiệm và? Branch Coverage ho?c Mutation Score.,,
209,"I Abdelmadjid, R Dyer",pyMethods2Test: A dataset of Python tests mapped to focal methods,2025,2025 IEEE/ACM 22nd International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11025770/,"https://scholar.google.com/scholar?cites=17203174203273416817&as_sdt=2005&sciodt=0,5&hl=en"," while we focus on one of the most popular and fastestgrowing languages Python. While the goal is different, automated test generation approaches such as EvoSuite [4] and A3Test [22] ",https://arxiv.org/pdf/2502.05143,"https://scholar.google.com/scholar?q=related:cZBGo8rzve4J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P: Bi bo tập trung vào xy đúng dataset nh x? test-focal method cho Python, không phải là phuong php sinh unit test tự động. IC-E: Không c số liệu thực nghiệm và? Branch Coverage hay Mutation Score. IC-I: Không sử dụng GPT-4.",,
210,"Q Zhao, Là Zhang, F Liu, Y Liu, Z Yan, Z Chen",Peer-aided repairer: Empowering large language models to repair advanced student assignments,2026,Empirical Software ,Springer,https://link.springer.com/article/10.1007/s10664-025-10716-z,"https://scholar.google.com/scholar?cites=7896560471644314650&as_sdt=2005&sciodt=0,5&hl=en"," Automated Program Repair techniques, especially Large Language Model-based approaches, have gained notable recognition for their potential in fixing introductory assignments. ",https://arxiv.org/pdf/2404.01754,"https://scholar.google.com/scholar?q=related:GhzAQ-k3lm0J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"EC-O: Bi bo tập trung vào sửa lỗi chương trình (program repair), không phải sinh unit test tự động.",,
211,"E Kaila, J Rytilahti, W Lempinen, Là Lindgren",Utilizing Large Language Model for Programming Course Exercise Generation,2025,International Conference on ,Springer,https://link.springer.com/chapter/10.1007/978-3-032-12313-8_15,," In the first case, we created an LLM-based tool for creating variations of existing exercises. In the second case, we used LLM for generating the unit tests and good-quality feedback for ",https://www.utupub.fi/bitstreams/869a5d82-afea-4fbb-91a2-4d5be3b31b98/download,"https://scholar.google.com/scholar?q=related:ws7E1PAwIiAJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
212,"TY Zhuo, MC Vu, J Chim, H Hu, W Yu",Bigcodebench: Benchmarking code generation with diverse function calls and complex instructions,2025,International ,proceedings.iclr.các,https://proceedings.iclr.các/paper_files/paper/2025/hash/a6a90bcc2aa470c3871b2d39a67d26e8-Abstract-Conference.html,"https://scholar.google.com/scholar?cites=14941649521314275585&as_sdt=2005&sciodt=0,5&hl=en"," , we have defined 10 data types (eg, SQL, CSV, and Python built- During interactions with GPT-4, we identify two main  for automated software test case generation. Journal of systems ",https://proceedings.iclr.các/paper_files/paper/2025/file/a6a90bcc2aa470c3871b2d39a67d26e8-Paper-Conference.pdf,"https://scholar.google.com/scholar?q=related:AaFSTBNnW88J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P, EC-O: Bi bo tập trung vào benchmark sinh code t?ng qut (BigCodeBench), không phải sinh Unit Test tự động. Không dp ?ng tr?ng tìm c?t li và? unit test generation.",,
213,MS Yeganeh,Enhancing Test-Driven Development with Semi-Automated Test Case Generation Using Input Space Partitioning,2026,2026 12th International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11513338/,," our methods major difference with MBTDD and LLM-Based approaches which rely on natural language  For our Java-based system, Stanford Parser was chosen due to its native Java ",,"https://scholar.google.com/scholar?q=related:k9-QHRmvcWwJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-T (Nam xuất bản 2026 là tương lai, không th? là bi bo d xuất bản, venue không r rng, s? trang 0) và IC-I (Bi bo không sử dụng GPT-4, th?mà ch cn so snh và?i LLM-based approaches, cho thấy phuong php không d?a trn LLM).",,
